,REGION,COD_BNA,NOMBRE,ESTADO,ESTE_84,NORTE_84,COD_CUEN,COD_SUBC,COD_SSUBC,NOM_SSUBC,NOM_CUEN,NOM_SUBC,CINE_REG,COD_REG,NOM_REG,CINE_PROV,COD_PROV,NOM_PROV,CINE_COM,COD_COM,NOM_COM
150,9,09129006-5,TEMUCO CENTRO,Vigentes,709476,5709035,091,0912,09129,Rio Cautin Entre Estero Pumalal y Rio Quepe,Rio Imperial,Cautin Alto (hasta antes junta R. Quepe),09,9,La Araucanía,091,91,Cautín,09101,9101,Temuco
151,9,09402001-8,RIO ALLIPEN EN MELIPEUCO,Vigentes,262817,5694618,094,0940,09402,Rio Allipen entre Tres Juntas y bajo Rio Llaima,Rio Tolten,Rio Allipen,09,9,La Araucanía,091,91,Cautín,09110,9110,Melipeuco
152,9,09400000-9,RIO TRUFUL EN CAMINO INTERNACIONAL,Vigentes,269505,5696689,094,0940,09401,Rio Zahuelhue y Rio Guallerrupe,Rio Tolten,Rio Allipen,09,9,La Araucanía,091,91,Cautín,09110,9110,Melipeuco
153,9,09401001-2,TRICAUCO,Vigentes,278578,5697440,094,0940,09401,Rio Zahuelhue y Rio Guallerrupe,Rio Tolten,Rio Allipen,09,9,La Araucanía,091,91,Cautín,09110,9110,Melipeuco
154,9,09403001-3,CUNCO,Vigentes,758713,5686784,094,0940,09403,Rio Allipen Entre Rio Llaima y Bajo Estero Cunco,Rio Tolten,Rio Allipen,09,9,La Araucanía,091,91,Cautín,09103,9103,Cunco
155,9,09404002-7,LOS LAURELES,Vigentes,755934,5679385,094,0940,09404,Rio Allipen Entre Estero Cunco y Rio Curaco,Rio Tolten,Rio Allipen,09,9,La Araucanía,091,91,Cautín,09103,9103,Cunco
156,9,09405001-4,RIO CURACO EN COLICO,Vigentes,743911,5672662,094,0940,09405,Rio Curaco,Rio Tolten,Rio Allipen,09,9,La Araucanía,091,91,Cautín,09103,9103,Cunco
157,9,09153001-5,PUERTO SAAVEDRA,Vigentes,639311,5704956,091,0915,09153,Rio Imperial entre Rio Las Damas y desembocadura,Rio Imperial,Rio Imperial,09,9,La Araucanía,091,91,Cautín,09116,9116,Saavedra
158,9,09135003-3,FREIRE SENDOS,Vigentes,707217,5684979,094,0943,09430,Rio Tolten entre Rio Allipen y Rio Donguil,Rio Tolten,Tolten Bajo,09,9,La Araucanía,091,91,Cautín,09105,9105,Freire
159,9,09423001-2,RIO TOLTEN EN COIPUE,Vigentes,726052,5668430,094,0942,09423,Rio Tolten entre Rio Pedregoso y Rio Allipen,Rio Tolten,Lago Villarica y Tolten Alto,09,9,La Araucanía,091,91,Cautín,09105,9105,Freire
160,9,09433003-3,QUITRATUE,Vigentes,702476,5663510,094,0943,09433,Estero Quitratrue (Puyehue),Rio Tolten,Tolten Bajo,09,9,La Araucanía,091,91,Cautín,09107,9107,Gorbea
161,9,09420004-0,CHANLELFU,Vigentes,725827,5628335,101,1013,10130,Rio Cruces (San Jose) Bajo Estero Niguen,Rio Valdivia,Rio Cruces,09,9,La Araucanía,091,91,Cautín,09109,9109,Loncoche
162,9,10130001-3,LONCOCHE,Vigentes,705236,5639239,101,1013,10130,Rio Cruces (San Jose) Bajo Estero Niguen,Rio Valdivia,Rio Cruces,09,9,La Araucanía,091,91,Cautín,09109,9109,Loncoche
163,8,08124005-1,MAYULERMO,Vigentes,241822,5921305,081,0813,08134,Rio Larqui,Rio Itata,Itata Medio,16,16,Ñuble,161,161,Diguillín,16108,16108,San Ignacio
