OBJECTID|AGNO|RBD|DGV_RBD|NOM_RBD|TIPO_SOST|COD_REG_RB|NOM_REG_RB|COD_PRO_RB|COD_COM_RB|NOM_COM_RB|COD_DEPROV|NOM_DEPROV|TIPO_DEPEN|DIRECCION|NUMERO|REFERENCIA|LATITUD|LONGITUD|MAT_PARV|MAT_BAS_RE|MAT_BAS_AD|MAT_ESP|MAT_MHC_RE|MAT_MHC_AD|MAT_MTP_RE|MAT_MTP_AD|MAT_TOTAL|MAT_HOM_TO|MAT_MUJ_TO|MAT_SI_TOT|CUR_SIM_TO|CUR_COMB_T
10142|2021|775|7|ESCUELA BASICA DE FUNDINA|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA FUNDINA|0|CALLE UNICA S/Nº FUNDINA|-30.382299|-70.844139|0|13|0|0|0|0|0|0|13|7|6|0|6|0
10143|2021|785|4|ESCUELA BASICA LOS MAITENES DE SAMO ALTO|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|LOS MAITENES|0|A 06 KMS DE SAMO ALTO|-30.369989|-70.92075299999999|0|1|0|0|0|0|0|0|1|1|0|0|0|1
10144|2021|795|1|ESC.BASICA DOMINGO SANTA MARIA GONZALEZ|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|CAMINO PUBLICO|0| |-30.36969|-71.128754|0|5|0|0|0|0|0|0|5|2|3|0|4|0
10145|2021|797|8|ESCUELA LOS MAITENES DE SERON|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|UNICA LOS MAITENES DE SERON|0|SERÓN AL ORIENTE|-30.35467|-70.69238299999999|0|6|0|0|0|0|0|0|6|3|3|0|0|1
10146|2021|645|9|ESCUELA DE EL TANGUE|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|HACIENDA EL TANGUE|60|KILOMETRO 60 HACIENDA EL TANGUE - INGRESAR DESDE TONGOY, APROX 15 KILOMETROS HACIA EL SUR.|-30.346459999999997|-71.558617|0|6|0|0|0|0|0|0|6|6|0|0|0|1
10147|2021|793|5|ESCUELA BASICA DE SERON|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CAMINO PUBLICO|0|SEÑALIZACION ESCOLAR EN EL CAMINO DOBLAR HACIA LA DERECHA SUBIENDO AL GIMNASIO TECHADO.|-30.334249|-70.744682|14|45|0|0|0|0|0|0|59|25|34|0|2|2
10148|2021|787|0|ESCUELA BASICA MORRILLOS|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|MORRILLOS|0|CALLE UNICA/MORRILLOS|-30.313999|-70.731873|0|4|0|0|0|0|0|0|4|1|3|0|0|1
10149|2021|783|8|ESCUELA DOCTOR JOSE LUIS ARRANO|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|CAMINO PUBLICO|0|LOCALIDAD AL  INTERIOR SUR  DE ANDACOLLO DISTANTE 20 KILOMETROS DE LA COMUNA.|-30.295209999999997|-71.158447|0|5|0|0|0|0|0|0|5|2|3|0|0|1
10150|2021|788|9|ESCUELA BASICA VADO DE MORRILLOS|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA VADO DE MORRILLOS|0|FRENTE AL CENTRO TURÍSTICO `HACIENDA LOS ANDES`.|-30.29458|-70.715569|0|2|0|0|0|0|0|0|2|1|1|0|0|1
10151|2021|644|0|ESCUELA DE PUERTO ALDEA|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|KILOMETRO 68 PUERTO ALDEA|0|FRENTE AL PUERTO PESQUERO|-30.292869999999997|-71.609261|0|33|0|0|0|0|0|0|33|21|12|0|0|3
10152|2021|777|3|ESC.BASICA HIJOS DE EL CHANAR|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA EL CHANAR|0|EL CHAÑAR RÍO HURTADO|-30.284571|-70.632683|0|12|0|0|0|0|0|0|12|4|8|0|0|1
10153|2021|641|6|ESCUELA DE LAS CARDAS|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|RUTA 43 CAMINO COQUIMBO|45|KM 45 DE LA RUTA 43 CAMINO COQUIMBO, AL VENIR DE LA SERENA  TOMAR RUTA 43 QUE VA A OVALLE . A LA ALTURA DEL KM 45 ESTÁ SEÑALIZADO LAS CARDAS , SE ENTRA POR UN CAMINO DE TIERRA AHÍ SE LOCALIZA LA ESCUELA.|-30.27844|-71.25250199999999|0|47|0|0|0|0|0|0|47|28|19|0|0|3
10154|2021|11110|4|LICEO JORGE IRIBARREN CHARLIN DE HURTADO|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA|0| |-30.277651|-70.670609|0|0|0|0|0|0|54|0|54|29|25|0|4|0
10155|2021|13423|6|ESCUELA BASICA AMANECER|1|4|COQ|43|4305|RÍO HURTADO|42|LIMARÍ|1|CALLE UNICA|0|S/N HURTADO, FRENTE LICEO JORGE IRIBARREN CHARLIN|-30.275319999999997|-70.668999|0|57|0|0|0|0|0|0|57|32|25|0|2|3
10156|2021|626|2|ESCUELA BASICA DAVID LEON TAPIA|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|FEDERICO SILVA|210|TONGOY|-30.26317|-71.48988299999999|93|631|0|8|0|0|0|0|732|369|363|0|21|0
10157|2021|13461|9|LICEO CARMEN AURORA RODRIGUEZ HENRIQUEZ|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|DOLORES ENDEIZA|185|AVENIDA BARNES CON DOLORES ENDEÍZA. TONGOY.|-30.262639999999998|-71.49340099999999|0|0|14|0|144|73|33|0|264|140|124|0|11|0
10158|2021|13320|5|COLEGIO PARTICULAR TONGOY|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|2|AVENIDA BARNES|75| |-30.260481|-71.490852|4|66|0|0|0|0|0|0|70|42|28|0|5|0
10159|2021|13636|0|ESC.ESP.DE LENG.HORIZONTES DE PALABRAS|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|2|VALLE DE ELQUI|103|TONGOY, ENTRE FUNDICIÓN SUR Y AVDA COQUIMBO|-30.259869|-71.49301|0|0|0|100|0|0|0|0|100|43|57|0|7|0
10160|2021|659|9|ESCUELA PADRE BLAS HERNANDEZ SANCHEZ|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|CHEPIQUILLA|0|CHEPIQUILLA S/N.|-30.255309999999998|-71.08345|0|11|0|0|0|0|0|0|11|5|6|0|5|0
10161|2021|658|0|ESCUELA PATRICIO LYNCH|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|BELLAVISTA SUR|40| |-30.246160999999997|-71.08114599999999|50|214|0|0|0|0|0|0|264|130|134|0|10|0
10162|2021|13563|1|COLEGIO NUESTRA SEÑORA DEL ROSARIO|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|JOSE SAN MARTIN|1066|POBLACIÓN CASUTO, SECTOR ALTO DE LA CIUDAD HACIA EL ORIENTE.|-30.23897|-71.080017|26|154|0|0|0|0|0|0|180|90|90|0|10|0
10163|2021|13611|5|CENTRO DE EDUC. INTEGRAL DE ADULTOS ANDACOLLO|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|BELTRAN AMENABAR|936|FRENTE A PASEO PEATONAL BELTRÁN AMENABAR|-30.237887999999998|-71.08457|0|0|7|0|0|91|0|0|98|50|48|0|5|0
10164|2021|656|4|LICEO PEDRO REGALADO S. VIDELA O.|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|CALLE 21 DE MAYO|504|POB. 25 DE OCTUBRE. , AL NORTE DEL ESTADIO FISCAL|-30.232329999999997|-71.07994099999999|0|0|0|0|173|0|107|0|280|166|114|0|12|0
10165|2021|664|5|COLEGIO PARROQUIAL DE ANDACOLLO|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|2|PLAZA VIDELA|28| |-30.231790999999998|-71.085854|132|596|0|0|236|0|0|0|964|485|479|0|28|0
10166|2021|697|1|ESCUELA MUNICIPAL ALCOHUAZ|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|CAMINO PUBLICO|0|12 KMS. DE PISCO ELQUI|-30.23151|-70.49434699999999|0|20|0|0|0|0|0|0|20|7|13|0|0|1
10167|2021|657|2|ESCUELA LUIS CRUZ MARTINEZ|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|LA CONCEPCION|509| |-30.231479999999998|-71.080063|37|174|0|0|0|0|0|0|211|116|95|0|10|0
10168|2021|13566|6|ESCUELA SAN LORENZO|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|2|PEDRO DE VALDIVIA|272|SECTOR LAS CATANAS|-30.230221|-71.08202399999999|0|139|0|46|0|0|0|0|185|109|76|0|14|0
10169|2021|639|4|ESCUELA DE LAS BARRANCAS|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|AVENIDA BERNARDO O'HIGGINS|11|RUTA 43 KM 37,CAMINO A OVALLE-AVENIDA BERNARDO OHIGGINS, SITIO 11 LOTE D 4C 46|-30.213289|-71.257874|11|59|0|0|0|0|0|0|70|39|31|0|4|2
10170|2021|696|3|ESCUELA MUNICIPAL LA ORTIGA|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|CAMINO PUBLICO LA ORTIGA|0|LA ORTIGA CAMINO PÙBLICO S/N COMUNA DE PAIHUANO|-30.203400000000002|-70.48719799999999|0|13|0|0|0|0|0|0|13|7|6|0|0|1
10171|2021|632|7|ESCUELA BASICA MANUEL DE SALAS|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|EL OCASO|310|DETRÁS DE LA IGLESIA, FRENTE A LA CANCHA DE FÚTBOL.  GUANAQUEROS|-30.199489999999997|-71.429733|65|342|0|0|0|0|0|0|407|207|200|0|11|0
10172|2021|643|2|ESCUELA DE TAMBILLOS|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|ESMERALDA TAMBILLOS|35| |-30.197321|-71.223686|28|114|0|0|0|0|0|0|142|72|70|0|8|0
10173|2021|686|6|ESCUELA BÁSICA MARIO AQUILES RODRIGUEZ|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|CAMINO PUBLICO HORCON|35|A 12 KILOMETROS PASADO LOCALIDAD DE  PISCO ELQUI-CAMINO PUBLICO KM.35 HORCON|-30.182260999999997|-70.48555|18|56|0|0|0|0|0|0|74|42|32|0|0|4
10174|2021|662|9|ESCUELA DE MAITENCILLO|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|MAITENCILLO|0|KM 14 RUTA D-51 CAMINO HACIA ANDACOLLO|-30.171049|-71.10880999999999|0|15|0|0|0|0|0|0|15|8|7|0|0|1
10175|2021|661|0|ESCUELA LUIS AMENABAR OSSA|1|4|COQ|41|4103|ANDACOLLO|41|ELQUI|5|EL MANZANO|0|KM 14 RUTA D-51 CAMINO HACIA ANDACOLLO|-30.169259999999998|-71.175148|0|30|0|0|0|0|0|0|30|11|19|0|6|0
10176|2021|699|8|ESCUELA MARIA ISABEL PERALTA P.|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|CAMINO PUBLICO|20|CAMINO PUBLICO KM. 20 - DESDE MONTE GRANDE, INTERNARSE A LA CORDILLERA|-30.142639|-70.40619699999999|0|12|0|0|0|0|0|0|12|8|4|0|2|1
10177|2021|40029|7|LICEO MISTRALIANO|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|BALMACEDA|132|CALLE UNICA DE PAIHUANO, AL LADO DE ESCUELA BASICA CIELO CLARO|-30.139000000000003|-70.31500199999999|0|0|0|0|102|0|28|0|130|61|69|0|8|0
10178|2021|642|4|ESCUELA DE EL PENON|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|O'HIGGINS EL PEÑON|0|LA ESCUELA SE ENCUENTRA INMEDIATAMENTE AL LADO DE LA POSTA RURAL|-30.138848999999997|-71.215828|0|149|0|0|0|0|0|0|149|83|66|0|6|0
10179|2021|692|0|ESCUELA JERONIMO GODOY VILLANUEVA|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|CENTENARIO|0|CENTENARIO S/N PISCO ELQUI|-30.123898999999998|-70.493912|28|163|0|0|0|0|0|0|191|93|98|0|10|0
10180|2021|694|7|ESCUELA GABRIELA MISTRAL|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|1|CAMINO PUBLICO|10|CAMINO PUBLICO KM 10 -FRENTE A LA PLAZA DE MONTEGRANDE.|-30.0938|-70.49497199999999|12|86|0|0|0|0|0|0|98|55|43|0|10|0
10181|2021|41173|6|CEIA LIBRE SER MISTRALIANO|1|4|COQ|41|4105|PAIGUANO|41|ELQUI|2|JUAN SOMMERS|47|DE LA COMUNA DE PAIHUANO, SECTOR URBANO|-30.090259|-70.492284|0|0|22|0|0|128|0|0|150|82|68|0|6|0
10182|2021|635|1|ESCUELA DE TOTORALILLO|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|TOTORALILLO|0|RUTA 5 NORTE KM 445|-30.064871|-71.36621099999999|0|18|0|0|0|0|0|0|18|10|8|0|0|1
10183|2021|629|7|COLEGIO PABLO NERUDA|1|4|COQ|41|4102|COQUIMBO|41|ELQUI|5|CAMINO INTERIOR|9505|SECTOR RURAL COMUNA DE COQUIMBO.   SECTOR PAN DE AZÚCAR ESFUERZO CAMPESINO RUTA D-409.|-30.05068|-71.252403|60|454|0|0|115|0|85|0|714|379|335|0|22|0
10184|2021|40052|1|ESC. ESP. DE TRANST. ESP DEL LENGUAJE G.MISTR|1|4|COQ|41|4106|VICUÑA|41|ELQUI|2|SARGENTO ALDEA|470|CERCA DE LA HOSTERIA, FRENTE A LA POBLACION MANUEL RODRIGUEZ,  VICUÑA|-30.04534|-70.71743|0|0|0|66|0|0|0|0|66|42|24|0|6|0
10185|2021|668|8|ESCUELA EDMUNDO VIDAL CARDENAS|1|4|COQ|41|4106|VICUÑA|41|ELQUI|1|CALLE PRINCIPAL|120|CALLE PARALELA A LA RUTA 41, ENTRE CALLEJÓN VALDIVIA Y PERALILLO ORIENTE.|-30.040661|-70.660828|44|283|0|0|117|64|0|0|508|278|230|0|16|0
10186|2021|13606|9|COLEGIO LEONARDO DA VINCI - VICUÑA|1|4|COQ|41|4106|VICUÑA|41|ELQUI|2|AVENIDA LAS DELICIAS|15|AVENIDA LAS DELICIAS 15-D, ACCESO PRINCIPAL DE VICUÑA|-30.036289|-70.718948|51|509|0|0|286|0|31|0|877|445|432|0|28|0
10187|2021|666|1|ESCUELA BASICA LUCILA GODOY ALCAYAGA|1|4|COQ|41|4106|VICUÑA|41|ELQUI|1|CARRERA|101|CARRERA ESQUINA O`HIGGINS VICUÑA CENTRO.|-30.035469|-70.711029|13|243|0|0|0|0|0|0|256|137|119|0|10|0
10188|2021|564|9|COLEGIO LA ESTRELLA|1|4|COQ|41|4101|LA SERENA|41|ELQUI|1|QUEBRADA LAS ANIMAS|0|CAMINO PUBLICO S/Nº, SECTOR MINA LA ESTRELLA, INTERIOR PUEBLO EL ROSARIO, LA SERENA|-30.034969|-71.10952|0|11|0|0|0|0|0|0|11|7|4|0|0|1
10189|2021|20469|2|CENTRO DE EDUCACION INTEGRAL DE ADULTOS PAIHUEN DE VICUÑA|1|4|COQ|41|4106|VICUÑA|41|ELQUI|2|FREIRE|199|199-B|-30.034349|-70.71613099999999|0|0|83|0|0|365|0|0|448|237|211|0|18|0
10190|2021|13517|8|ESCUELA ESPECIAL DE LENGUAJE SAN GUILLERMO|1|4|COQ|41|4106|VICUÑA|41|ELQUI|2|BAQUEDANO|488|CALLE YUNGAY, HACIA EL SUR|-30.034139999999997|-70.70804|0|0|0|126|0|0|0|0|126|72|54|0|9|0
10191|2021|665|3|LICEO CARLOS ROBERTO MONDACA CORTES|1|4|COQ|41|4106|VICUÑA|41|ELQUI|1|GABRIELA MISTRAL|617|GABRIELA MISTRAL ESQUINA CONDELL|-30.033790999999997|-70.709099|0|0|0|14|143|3|329|0|489|284|205|0|21|0
